country_id,year,value
Abkhazia,1995,
Afghanistan,1995,
Akrotiri and Dhekelia,1995,
Albania,1995,13.94059069
Algeria,1995,46.77145965
American Samoa,1995,
Andorra,1995,897.1815411
Angola,1995,13.51683268
Anguilla,1995,
Antigua and Barbuda,1995,233.0934413
Argentina,1995,367.6643573
Armenia,1995,7.96878387
Aruba,1995,
Australia,1995,1029.372657
Austria,1995,2112.067683
Azerbaijan,1995,4.33324416
Bahamas,1995,334.5557486
Bahrain,1995,335.5907578
Bangladesh,1995,23.83025448
Barbados,1995,305.8470252
Belarus,1995,49.16810633
Belgium,1995,1640.654463
Belize,1995,74.08390866
Benin,1995,8.1075156
Bermuda,1995,
Bhutan,1995,12.86860207
Bolivia,1995,25.64398708
Bosnia and Herzegovina,1995,30.02612169
Botswana,1995,65.34420764
Brazil,1995,135.9002984
British Virgin Islands,1995,
Brunei,1995,375.088602
Bulgaria,1995,60.51647544
Burkina Faso,1995,4.15324741
Burundi,1995,3.00991129
Cambodia,1995,3.21471026
Cameroon,1995,5.86006897
Canada,1995,1297.156262
Cape Verde,1995,50.73669527
Cayman Islands,1995,
Central African Republic,1995,4.86327739
Chad,1995,4.14184241
Channel Islands,1995,
Chile,1995,127.4065827
China,1995,10.67774257
Christmas Island,1995,
Cocos Island,1995,
Colombia,1995,109.2548218
Comoros,1995,13.50516984
"Congo, Dem. Rep.",1995,0.19
"Congo, Rep.",1995,14.48727395
Cook Is,1995,244.429539
Costa Rica,1995,168.2605271
Cote d'Ivoire,1995,8.55749206
Croatia,1995,279.5663642
Cuba,1995,100.9153422
Cyprus,1995,253.1418547
Czech Republic,1995,340.3137804
Czechoslovakia,1995,
Denmark,1995,2333.210858
Djibouti,1995,19.2017383
Dominica,1995,130.5928708
Dominican Republic,1995,22.64116566
East Germany,1995,
Ecuador,1995,40.36019064
Egypt,1995,17.41366325
El Salvador,1995,40.7102172
Equatorial Guinea,1995,12.44983469
Eritrea,1995,4.04002279
Eritrea and Ethiopia,1995,
Estonia,1995,148.7532172
Ethiopia,1995,1.59852238
Faeroe Islands,1995,
Falkland Is (Malvinas),1995,
Fiji,1995,62.53174925
Finland,1995,1441.006101
France,1995,2183.163842
French Guiana,1995,
French Polynesia,1995,
Gabon,1995,51.61388476
Gambia,1995,6.18358208
Georgia,1995,1.51330026
Germany,1995,2543.513593
Ghana,1995,11.46418065
Gibraltar,1995,
Greece,1995,553.6710119
Greenland,1995,
Grenada,1995,82.93148834
Guadeloupe,1995,
Guam,1995,
Guatemala,1995,19.31567792
Guernsey,1995,
Guinea,1995,5.53496405
Guinea-Bissau,1995,6.31330681
Guyana,1995,32.89314239
Haiti,1995,9.24136247
Holy See,1995,
Honduras,1995,20.36235054
"Hong Kong, China",1995,
Hungary,1995,271.3843117
Iceland,1995,1867.005052
India,1995,4.09773063
Indonesia,1995,7.07495167
Iran,1995,30.49997812
Iraq,1995,
Ireland,1995,897.4363738
Isle of Man,1995,
Israel,1995,886.663655
Italy,1995,1017.512492
Jamaica,1995,50.81029056
Japan,1995,2378.709944
Jersey,1995,
Jordan,1995,78.96340943
Kazakhstan,1995,30.85875588
Kenya,1995,6.51912364
Kiribati,1995,66.8857474
North Korea,1995,
South Korea,1995,170.0322492
"United Korea (former)
",1995,
Kosovo,1995,
Kuwait,1995,515.0484395
Kyrgyz Republic,1995,12.86229905
Lao,1995,9.10709003
Latvia,1995,76.37946403
Lebanon,1995,102.2277991
Lesotho,1995,17.0539293
Liberia,1995,
Libya,1995,92.80243293
Liechtenstein,1995,
Lithuania,1995,73.91639801
Luxembourg,1995,2602.905554
"Macao, China",1995,
"Macedonia, FYR",1995,117.4701417
Madagascar,1995,3.6105769
Malawi,1995,2.6372706
Malaysia,1995,74.69914675
Maldives,1995,58.75640886
Mali,1995,7.53242489
Malta,1995,399.2357532
Marshall Islands,1995,309.4750359
Martinique,1995,
Mauritania,1995,17.37150714
Mauritius,1995,70.32803721
Mayotte,1995,
Mexico,1995,74.20426593
"Micronesia, Fed. Sts.",1995,180.0335134
Moldova,1995,19.32057103
Monaco,1995,2576.385274
Mongolia,1995,15.42577971
Montenegro,1995,98.51512053
Montserrat,1995,
Morocco,1995,15.42954315
Mozambique,1995,4.88472919
Myanmar,1995,0.49
Namibia,1995,93.71092377
Nauru,1995,431.231446
Nepal,1995,1.59726662
Netherlands,1995,1603.209373
Netherlands Antilles,1995,
New Caledonia,1995,
New Zealand,1995,917.4274281
Ngorno-Karabakh,1995,
Nicaragua,1995,37.20088414
Niger,1995,2.81026806
Nigeria,1995,9.30922799
Niue,1995,345.0651396
Norfolk Island,1995,
Northern Cyprus,1995,
Northern Mariana Islands,1995,
Norway,1995,2506.679137
Oman,1995,186.8962724
Pakistan,1995,3.87462001
Palau,1995,527.413933
Panama,1995,154.9538538
Papua New Guinea,1995,30.99662551
Paraguay,1995,40.25249279
Peru,1995,54.851164
Philippines,1995,14.59464811
Pitcairn,1995,
Poland,1995,145.0179292
Portugal,1995,547.1565505
Puerto Rico,1995,
Qatar,1995,376.6332058
Reunion,1995,
Romania,1995,39.91796451
Russia,1995,83.48835391
Rwanda,1995,3.77488908
St. Barthélemy,1995,
St. Helena,1995,
St. Kitts and Nevis,1995,171.7819023
St. Lucia,1995,116.0947303
St. Martin,1995,
St. Vincent and the Grenadines,1995,93.20338315
St.-Pierre-et-Miquelon,1995,
Samoa,1995,39.65397118
San Marino,1995,1830.586561
Sao Tome and Principe,1995,21.62219232
Saudi Arabia,1995,118.7262097
Senegal,1995,7.46119076
Serbia,1995,55.08246243
Serbia and Montenegro,1995,
Serbia excluding Kosovo,1995,
Seychelles,1995,300.4457824
Sierra Leone,1995,3.01513619
Singapore,1995,367.6878915
Slovak Republic,1995,196.0285442
Slovenia,1995,609.9974503
Solomon Islands,1995,43.91018373
Somalia,1995,2.007823
Somaliland,1995,
South Africa,1995,107.407441
South Ossetia,1995,
Spain,1995,814.1213525
Sri Lanka,1995,11.46072596
Sudan,1995,2.07942249
Suriname,1995,42.58001262
Svalbard,1995,
Swaziland,1995,49.93276657
Sweden,1995,1983.369454
Switzerland,1995,2287.440129
Syria,1995,20.51337292
Taiwan,1995,
Tajikistan,1995,1.26796789
Tanzania,1995,2.69100329
Thailand,1995,46.76155844
Timor-Leste,1995,31.29192123
Togo,1995,5.98969424
Tokelau,1995,
Tonga,1995,56.40098922
Transnistria,1995,
Trinidad and Tobago,1995,94.26218324
Tunisia,1995,64.10270161
Turkey,1995,67.14680445
Turkmenistan,1995,26.02883207
Turks and Caicos Islands,1995,
Tuvalu,1995,64.34333532
Uganda,1995,4.47225376
Ukraine,1995,30.0241936
United Arab Emirates,1995,582.7494561
United Kingdom,1995,1142.361045
United States,1995,1683.124404
Uruguay,1995,410.2539456
USSR,1995,
Uzbekistan,1995,15.78740212
Wallis et Futuna,1995,
Vanuatu,1995,31.70008714
Venezuela,1995,61.2279607
West Bank and Gaza,1995,
West Germany,1995,
Western Sahara,1995,
Vietnam,1995,4.9253403
Virgin Islands (U.S.),1995,
North Yemen (former),1995,
South Yemen (former),1995,
Yemen,1995,12.42190055
Yugoslavia,1995,
Zambia,1995,13.23782123
Zimbabwe,1995,28.05200411
Åland,1995,
South Sudan,1995,
Christian,1995,
Coastline,1995,
Curaçao,1995,
Sint Maarten (Dutch part),1995,
St. Martin (French part),1995,
Abkhazia,1996,
Afghanistan,1996,
Akrotiri and Dhekelia,1996,
Albania,1996,17.0620735
Algeria,1996,47.96005336
American Samoa,1996,
Andorra,1996,982.7948194
Angola,1996,8.72415485
Anguilla,1996,
Antigua and Barbuda,1996,227.1114265
Argentina,1996,357.2125912
Armenia,1996,8.16128227
Aruba,1996,
Australia,1996,1148.635677
Austria,1996,2051.069613
Azerbaijan,1996,6.01612378
Bahamas,1996,352.8685996
Bahrain,1996,336.203756
Bangladesh,1996,24.39962057
Barbados,1996,317.7632874
Belarus,1996,66.47887357
Belgium,1996,1679.471125
Belize,1996,58.00964656
Benin,1996,8.23899699
Bermuda,1996,
Bhutan,1996,19.20414021
Bolivia,1996,28.84157059
Bosnia and Herzegovina,1996,41.48321637
Botswana,1996,65.59540474
Brazil,1996,141.8709084
British Virgin Islands,1996,
Brunei,1996,519.2387899
Bulgaria,1996,38.45053184
Burkina Faso,1996,4.55124611
Burundi,1996,2.86477668
Cambodia,1996,7.42815436
Cameroon,1996,5.96980053
Canada,1996,1294.366554
Cape Verde,1996,47.29737814
Cayman Islands,1996,
Central African Republic,1996,3.48334612
Chad,1996,4.54608235
Channel Islands,1996,
Chile,1996,141.7385982
China,1996,12.31596274
Christmas Island,1996,
Cocos Island,1996,
Colombia,1996,149.0662886
Comoros,1996,12.33688076
"Congo, Dem. Rep.",1996,0.14
"Congo, Rep.",1996,15.52463203
Cook Is,1996,223.392995
Costa Rica,1996,168.6714184
Cote d'Ivoire,1996,10.57728913
Croatia,1996,323.2831559
Cuba,1996,108.0096704
Cyprus,1996,257.417146
Czech Republic,1996,365.6984273
Czechoslovakia,1996,
Denmark,1996,2372.069124
Djibouti,1996,17.87635922
Dominica,1996,140.080376
Dominican Republic,1996,26.09656002
East Germany,1996,
Ecuador,1996,47.39264896
Egypt,1996,18.95690411
El Salvador,1996,55.34064889
Equatorial Guinea,1996,13.89224486
Eritrea,1996,2.89209079
Eritrea and Ethiopia,1996,
Estonia,1996,193.8250081
Ethiopia,1996,1.61060018
Faeroe Islands,1996,
Falkland Is (Malvinas),1996,
Fiji,1996,71.73987971
Finland,1996,1440.577151
France,1996,2177.602013
French Guiana,1996,
French Polynesia,1996,
Gabon,1996,60.4915726
Gambia,1996,5.59041606
Georgia,1996,5.36372898
Germany,1996,2541.816627
Ghana,1996,11.69009926
Gibraltar,1996,
Greece,1996,589.1470739
Greenland,1996,
Grenada,1996,88.26573282
Guadeloupe,1996,
Guam,1996,
Guatemala,1996,18.97053327
Guernsey,1996,
Guinea,1996,5.23917087
Guinea-Bissau,1996,6.14899416
Guyana,1996,36.15688265
Haiti,1996,9.08738335
Holy See,1996,
Honduras,1996,17.59481888
"Hong Kong, China",1996,
Hungary,1996,257.310518
Iceland,1996,1900.572326
India,1996,4.07533927
Indonesia,1996,8.17022239
Iran,1996,40.82255483
Iraq,1996,0.03
Ireland,1996,950.1843172
Isle of Man,1996,
Israel,1996,980.8379002
Italy,1996,1153.671978
Jamaica,1996,73.87379989
Japan,1996,2140.166741
Jersey,1996,
Jordan,1996,78.95922043
Kazakhstan,1996,36.93732256
Kenya,1996,7.10565859
Kiribati,1996,76.10130045
North Korea,1996,
South Korea,1996,205.9242624
"United Korea (former)
",1996,
Kosovo,1996,
Kuwait,1996,533.253488
Kyrgyz Republic,1996,12.30357627
Lao,1996,10.19851074
Latvia,1996,81.24573645
Lebanon,1996,122.8074711
Lesotho,1996,16.86472634
Liberia,1996,
Libya,1996,91.52578312
Liechtenstein,1996,
Lithuania,1996,91.97301199
Luxembourg,1996,2608.045422
"Macao, China",1996,
"Macedonia, FYR",1996,118.6134796
Madagascar,1996,5.50189669
Malawi,1996,2.86171921
