country_ID,year,value
1,1990,2193
2,1990,4415
3,1990,9989
4,1990,49062
5,1990,4139
6,1990,15749
7,1990,10932
8,1990,3600
9,1990,27679
10,1990,31587
11,1990,8710
12,1990,29469
13,1990,29850
14,1990,1358
15,1990,13806
16,1990,8360
17,1990,30781
18,1990,4977
19,1990,1432
20,1990,2207
21,1990,3530
22,1990,1343
23,1990,8270
24,1990,10082
25,1990,85147
26,1990,8518
27,1990,845
28,1990,1014
29,1990,1688
30,1990,1381
31,1990,2889
32,1990,30384
33,1990,968
34,1990,1096
35,1990,8611
36,1990,1530
37,1990,7392
38,1990,2576
39,1990,5976
39,1990,2054
41,1990,7377
42,1990,14413
43,1990,4920
44,1990,22853
45,1990,20121
46,1990,2806
49,1990,32832
50,1990,1919
51,1990,6484
52,1990,5278
53,1990,6878
54,1990,5750
55,1990,4385
56,1990,1424
57,1990,895
58,1990,15020
167,1990,5927
59,1990,651
61,1990,5683
62,1990,28133
63,1990,29573
64,1990,19368
65,1990,1329
66,1990,7988
67,1990,31793
68,1990,1863
69,1990,21080
70,1990,6929
71,1990,4969
72,1990,1272
73,1990,1565
74,1990,2097
75,1990,2091
76,1990,3027
77,1990,16200
78,1990,29373
79,1990,1882
80,1990,4399
81,1990,11391
82,1990,11382
83,1990,19935
84,1990,20001
85,1990,30729
86,1990,6597
87,1990,30836
88,1990,5880
89,1990,13703
90,1990,2265
91,1990,2358
140,1990,11614
92,1990,52301
93,1990,3420
94,1990,1732
95,1990,14077
96,1990,6794
97,1990,2053
98,1990,923
99,1990,20344
197,1990,63874
100,1990,15932
101,1990,60153
102,1990,1590
103,1990,730
104,1990,10175
105,1990,6261
106,1990,1271
107,1990,17386
108,1990,3737
109,1990,2675
110,1990,7503
111,1990,13156
112,1990,3330
141,1990,6743
114,1990,5048
115,1990,
116,1990,3809
117,1990,373
118,1990,730
119,1990,5821
120,1990,
121,1990,1192
122,1990,32233
123,1990,23099
124,1990,2860
125,1990,872
126,1990,3221
173,1990,9526
128,1990,41798
129,1990,34936
130,1990,3195
131,1990,11406
198,1990,1079
132,1990,7597
133,1990,2133
134,1990,6484
135,1990,4963
136,1990,3965
137,1990,9946
138,1990,20109
139,1990,73168
142,1990,11434
143,1990,20898
144,1990,865
145,1990,15163
146,1990,8551
147,1990,5321
148,1990,4768
150,1990,1816
151,1990,44193
152,1990,2262
153,1990,12309
154,1990,13709
155,1990,1114
156,1990,34576
157,1990,14628
158,1990,83449
159,1990,1291
161,1990,9588
162,1990,
163,1990,23594
164,1990,3587
165,1990,1614
166,1990,10377
168,1990,30334
169,1990,49156
170,1990,3432
171,1990,4147
187,1990,1490
172,1990,6562
174,1990,4069
175,1990,1302
177,1990,3670
178,1990,10058
179,1990,5462
180,1990,11214
181,1990,8375
182,1990,4713
183,1990,758
184,1990,10744
185,1990,110756
186,1990,26485
188,1990,37154
189,1990,9499
190,1990,3089
191,1990,2619
192,1990,14529
193,1990,1369
194,1990,2382
195,1990,2140
196,1990,2693
1,1991,1841
2,1991,3138
3,1991,9457
4,1991,48391
5,1991,4528
6,1991,16439
7,1991,11902
8,1991,3327
9,1991,27203
10,1991,32192
11,1991,8514
12,1991,27683
13,1991,40166
14,1991,1374
15,1991,13255
16,1991,8255
17,1991,31342
18,1991,5441
19,1991,1449
20,1991,2126
21,1991,3662
22,1991,1243
23,1991,8989
24,1991,10089
25,1991,85355
26,1991,7743
27,1991,897
28,1991,1045
29,1991,1665
30,1991,1428
31,1991,2642
32,1991,29469
33,1991,942
34,1991,1165
35,1991,9141
36,1991,1649
37,1991,7434
38,1991,2368
39,1991,6060
39,1991,1684
41,1991,7509
42,1991,11436
43,1991,4372
44,1991,22430
45,1991,17774
46,1991,2759
49,1991,33151
50,1991,1819
51,1991,6505
52,1991,5204
53,1991,7110
54,1991,5874
55,1991,4387
56,1991,1399
57,1991,996
58,1991,13965
167,1991,5914
59,1991,584
61,1991,5517
62,1991,26110
63,1991,29692
64,1991,20053
65,1991,1393
66,1991,6258
67,1991,32995
68,1991,1907
69,1991,21554
70,1991,7161
71,1991,5107
72,1991,1270
73,1991,1570
74,1991,1865
75,1991,2093
76,1991,2825
77,1991,14059
78,1991,29182
79,1991,1859
80,1991,4628
81,1991,12497
82,1991,3983
83,1991,20286
84,1991,20469
85,1991,31124
86,1991,6804
87,1991,31774
88,1991,5514
89,1991,12202
90,1991,2213
91,1991,3058
140,1991,12687
92,1991,34139
93,1991,3096
94,1991,1756
95,1991,12672
96,1991,8126
97,1991,2051
98,1991,806
99,1991,22970
197,1991,64199
100,1991,15044
101,1991,65016
102,1991,1416
103,1991,779
104,1991,10775
105,1991,6327
106,1991,1397
107,1991,17760
108,1991,3650
109,1991,2699
110,1991,7830
111,1991,13535
112,1991,3390
141,1991,5552
114,1991,4608
115,1991,
116,1991,4000
117,1991,381
118,1991,715
119,1991,6213
120,1991,
121,1991,1235
122,1991,32868
123,1991,21231
124,1991,2221
125,1991,871
126,1991,3157
173,1991,8999
128,1991,42764
129,1991,35829
130,1991,3199
131,1991,12346
198,1991,984
132,1991,7914
133,1991,2296
134,1991,6408
135,1991,5113
136,1991,3892
137,1991,9200
138,1991,21079
139,1991,70251
142,1991,10077
143,1991,19782
144,1991,866
145,1991,14666
146,1991,8445
147,1991,5375
148,1991,4574
150,1991,1758
151,1991,48313
152,1991,2250
153,1991,10777
154,1991,14000
155,1991,1171
156,1991,35663
157,1991,12404
158,1991,48846
159,1991,1396
161,1991,9349
162,1991,
163,1991,24144
164,1991,3704
165,1991,1576
166,1991,10448
168,1991,29502
169,1991,48156
170,1991,3589
171,1991,3770
187,1991,1478
172,1991,7023
174,1991,4362
175,1991,1262
177,1991,3866
178,1991,10247
179,1991,5505
180,1991,11099
181,1991,7768
182,1991,4866
183,1991,775
184,1991,9801
185,1991,104110
186,1991,26133
188,1991,36597
189,1991,9892
190,1991,3002
191,1991,2339
192,1991,15667
193,1991,1436
194,1991,2423
195,1991,2020
196,1991,2764
1,1992,1739
2,1992,2857
3,1992,9462
4,1992,47002
5,1992,1737
6,1992,16475
7,1992,12816
8,1992,1649
9,1992,27159
10,1992,32442
11,1992,6489
12,1992,26858
13,1992,40370
14,1992,1420
15,1992,12347
16,1992,7447
17,1992,31688
18,1992,5953
19,1992,1409
20,1992,2160
21,1992,3688
22,1992,1199
23,1992,9082
24,1992,9905
25,1992,86908
26,1992,7940
27,1992,875
28,1992,1030
29,1992,1797
30,1992,1480
31,1992,2517
32,1992,29310
33,1992,858
34,1992,1224
35,1992,10081
36,1992,1857
37,1992,7617
38,1992,2520
39,1992,6307
39,1992,1550
41,1992,8009
42,1992,10042
43,1992,3856
44,1992,23807
45,1992,17803
46,1992,2686
49,1992,33764
50,1992,1877
51,1992,6648
52,1992,5734
53,1992,7193
54,1992,5999
55,1992,4674
56,1992,1855
57,1992,1533
58,1992,11494
167,1992,5978
59,1992,514
61,1992,5758
62,1992,24833
63,1992,30056
64,1992,18489
65,1992,1395
66,1992,3399
67,1992,33325
68,1992,1928
69,1992,21596
70,1992,7089
71,1992,5217
72,1992,1292
73,1992,1563
74,1992,2299
75,1992,1942
76,1992,2893
77,1992,13730
78,1992,27957
79,1992,1922
80,1992,4847
81,1992,12606
82,1992,5156
83,1992,20557
84,1992,21259
85,1992,31315
86,1992,7013
87,1992,32015
88,1992,6319
89,1992,11595
90,1992,2130
91,1992,3075
140,1992,13326
92,1992,56057
93,1992,2639
94,1992,1804
95,1992,8229
96,1992,9163
97,1992,2040
98,1992,533
99,1992,21835
197,1992,65629
100,1992,11890
101,1992,64709
102,1992,1416
103,1992,715
104,1992,11402
105,1992,6556
106,1992,1317
107,1992,18161
108,1992,3839
109,1992,2688
110,1992,8243
111,1992,13775
112,1992,3336
141,1992,3902
114,1992,4058
115,1992,
116,1992,3860
117,1992,340
118,1992,775
119,1992,6324
120,1992,
121,1992,1252
122,1992,33079
123,1992,21294
124,1992,2027
125,1992,791
126,1992,3191
173,1992,8265
128,1992,44456
